status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
less than 0;9;no credits taken/all credits paid back duly;furniture/equipment;458;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;unknown / no property;24;none;rent;1;skilled employee/official;0 to 2;no;no;1
less than 0;9;no credits taken/all credits paid back duly;car (used);918;unknown/no savings account;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;less than 1 yr;car or other;30;none;rent;1;skilled employee/official;0 to 2;no;no;0
.greater than 200;24;no credits taken/all credits paid back duly;others;7393;unknown/no savings account;from 1 to 4 yrs;greater than 35;male : married/widowed;none;greater than 7 yrs;car or other;43;none;rent;1;unskilled - resident;3 or more;no;no;1
from 0 to 200;10;no credits taken/all credits paid back duly;radio/television;1225;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;37;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
no checking account;24;no credits taken/all credits paid back duly;car (new);2812;greater than 1000;greater than 7 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;26;none;for free;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;15;no credits taken/all credits paid back duly;car (new);3029;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;33;none;rent;1;skilled employee/official;0 to 2;no;no;1
from 0 to 200;12;all credits at this bank paid back duly;others;1480;from 100 to 500;unemployed;from 35 to 25;male : married/widowed;none;greater than 7 yrs;real estate;66;bank;own;4.May;unemployed/unskilled - non-resident;0 to 2;no;no;1
from 0 to 200;6;all credits at this bank paid back duly;repairs;1047;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;car or other;50;none;rent;1;unskilled - resident;0 to 2;no;no;1
.greater than 200;15;all credits at this bank paid back duly;furniture/equipment;1471;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;35;none;own;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;24;no credits taken/all credits paid back duly;car (used);5511;less than 100;from 1 to 4 yrs;less than 20;male : married/widowed;none;less than 1 yr;building soc. savings agr./life insurance;25;stores;rent;1;skilled employee/official;0 to 2;no;no;1
less than 0;9;no credits taken/all credits paid back duly;furniture/equipment;1206;unknown/no savings account;greater than 7 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;25;none;rent;1;skilled employee/official;0 to 2;no;no;1
less than 0;24;existing credits paid back duly till now;furniture/equipment;6403;unknown/no savings account;less than 1 yr;greater than 35;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;33;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;12;no credits taken/all credits paid back duly;furniture/equipment;707;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;30;bank;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;12;existing credits paid back duly till now;car (new);1503;unknown/no savings account;from 1 to 4 yrs;less than 20;female : single;none;greater than 7 yrs;unknown / no property;41;none;for free;1;skilled employee/official;0 to 2;no;no;1
less than 0;12;no credits taken/all credits paid back duly;others;6078;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;32;none;rent;1;skilled employee/official;0 to 2;no;no;1
less than 0;27;no credits taken/all credits paid back duly;retraining;2528;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;less than 1 yr;car or other;32;none;rent;1;skilled employee/official;3 or more;yes (under customer name);no;1
less than 0;12;no credits taken/all credits paid back duly;retraining;1037;less than 100;from 4 to 7 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;unknown / no property;39;none;rent;1;unskilled - resident;0 to 2;no;no;1
no checking account;6;no credits taken/all credits paid back duly;car (new);1352;from 100 to 500;unemployed;greater than 35;female : non-single or male : single;none;from 1 to 4 yrs;car or other;23;none;for free;1;unemployed/unskilled - non-resident;0 to 2;yes (under customer name);no;1
.greater than 200;24;no credits taken/all credits paid back duly;furniture/equipment;3181;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;greater than 7 yrs;car or other;26;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;18;no credits taken/all credits paid back duly;furniture/equipment;4594;unknown/no savings account;less than 1 yr;from 25 to 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;32;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;48;no credits taken/all credits paid back duly;business;5381;greater than 1000;unemployed;from 25 to 20;male : married/widowed;none;greater than 7 yrs;real estate;40;bank;own;1;unemployed/unskilled - non-resident;0 to 2;yes (under customer name);no;1
.greater than 200;15;no credits taken/all credits paid back duly;car (new);4657;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;30;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;9;no credits taken/all credits paid back duly;retraining;1391;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;female : single;none;less than 1 yr;unknown / no property;27;bank;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;18;no credits taken/all credits paid back duly;retraining;1913;from 500 to 1000;less than 1 yr;from 25 to 20;female : single;none;from 4 to 7 yrs;unknown / no property;36;bank;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;42;no credits taken/all credits paid back duly;furniture/equipment;7166;greater than 1000;from 4 to 7 yrs;from 35 to 25;female : single;none;greater than 7 yrs;car or other;29;none;for free;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;13;no credits taken/all credits paid back duly;furniture/equipment;1409;less than 100;unemployed;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;64;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;24;existing credits paid back duly till now;retraining;2978;greater than 1000;from 1 to 4 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;unknown / no property;32;none;rent;2.Mar;skilled employee/official;3 or more;yes (under customer name);no;1
.greater than 200;12;all credits at this bank paid back duly;furniture/equipment;976;greater than 1000;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;35;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;24;existing credits paid back duly till now;retraining;2375;from 100 to 500;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;44;none;rent;2.Mar;skilled employee/official;3 or more;yes (under customer name);no;1
.greater than 200;12;all credits at this bank paid back duly;furniture/equipment;522;from 100 to 500;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;car or other;42;none;rent;2.Mar;skilled employee/official;3 or more;yes (under customer name);no;1
.greater than 200;28;all credits at this bank paid back duly;furniture/equipment;2743;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;29;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;11;all credits at this bank paid back duly;furniture/equipment;1154;less than 100;unemployed;less than 20;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;57;none;rent;4.May;unskilled - resident;0 to 2;no;no;1
.greater than 200;24;all credits at this bank paid back duly;car (new);5804;from 500 to 1000;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;27;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;18;all credits at this bank paid back duly;furniture/equipment;1169;greater than 1000;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;car or other;29;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
no checking account;15;all credits at this bank paid back duly;car (used);1478;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;44;none;rent;2.Mar;skilled employee/official;3 or more;yes (under customer name);no;1
.greater than 200;12;no credits taken/all credits paid back duly;furniture/equipment;776;unknown/no savings account;from 1 to 4 yrs;less than 20;female : single;none;from 1 to 4 yrs;unknown / no property;28;none;rent;1;skilled employee/official;0 to 2;no;no;1
less than 0;11;all credits at this bank paid back duly;others;1322;from 500 to 1000;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;40;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
less than 0;16;all credits at this bank paid back duly;others;1175;unknown/no savings account;unemployed;from 35 to 25;male : married/widowed;none;from 4 to 7 yrs;building soc. savings agr./life insurance;68;none;own;4.May;unemployed/unskilled - non-resident;0 to 2;yes (under customer name);no;1
.greater than 200;12;no credits taken/all credits paid back duly;others;2133;greater than 1000;greater than 7 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;real estate;52;none;own;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
.greater than 200;15;all credits at this bank paid back duly;furniture/equipment;1829;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;46;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;12;all credits at this bank paid back duly;furniture/equipment;717;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;unknown / no property;52;none;rent;4.May;skilled employee/official;0 to 2;no;no;1
less than 0;39;existing credits paid back duly till now;repairs;11760;less than 100;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;from 4 to 7 yrs;real estate;32;none;for free;1;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;9;all credits at this bank paid back duly;repairs;1501;unknown/no savings account;greater than 7 yrs;from 35 to 25;female : non-single or male : single;none;from 4 to 7 yrs;building soc. savings agr./life insurance;34;none;rent;2.Mar;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;0
no checking account;12;no credits taken/all credits paid back duly;repairs;1200;greater than 1000;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;car or other;23;bank;for free;1;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;9;no credits taken/all credits paid back duly;others;3195;greater than 1000;from 1 to 4 yrs;greater than 35;female : non-single or male : single;none;from 1 to 4 yrs;unknown / no property;33;none;rent;1;unskilled - resident;0 to 2;no;no;1
.greater than 200;30;all credits at this bank paid back duly;furniture/equipment;4530;unknown/no savings account;from 4 to 7 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;26;none;for free;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
.greater than 200;12;existing credits paid back duly till now;domestic appliances;1555;from 500 to 1000;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;55;none;own;2.Mar;skilled employee/official;3 or more;no;no;0
